month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
June,1757605,8192169,2019-06-02 02:07:00,6/2/2019 2:17,0:10:28,"901 Park Ave SW, Albuquerque, NM 87102, USA","901 Park Ave SW, Albuquerque, NM 87102, USA",37734488,1628147
June,1757613,7785676,2019-06-02 02:07:00,6/2/2019 2:08,0:00:32,"401 2nd St NW, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",37792841,1627981
June,1757629,7785676,2019-06-02 02:08:00,6/2/2019 2:52,0:43:35,"401 2nd St NW, Albuquerque, NM 87102, USA","201 Marquette Ave NW, Albuquerque, NM 87102, USA",37792841,1628722
June,1757637,8442819,2019-06-02 02:09:00,6/2/2019 2:15,0:06:38,"115 Arno St NE, Albuquerque, NM 87102, USA","1215 Hazeldine Ave SE, Albuquerque, NM 87106, USA",35546152,1628116
June,1757638,8594460,2019-06-02 02:09:00,6/2/2019 2:17,0:08:18,"115 Arno St NE, Albuquerque, NM 87102, USA","514 Sycamore St SE, Albuquerque, NM 87106, USA",37794388,1628141
June,1757650,3885791,2019-06-02 02:09:00,6/2/2019 2:13,0:03:31,"2nd @ Marquette, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",37792942,1628076
June,1757660,3360237,2019-06-02 02:10:00,6/2/2019 2:20,0:10:06,"724 Silver Ave SW, Albuquerque, NM 87102, USA","800 Silver Ave SW, Albuquerque, NM 87102, USA",37764053,1628206
June,1757673,3080404,2019-06-02 02:11:00,6/2/2019 2:24,0:12:28,"201 Arno St NE, Albuquerque, NM 87102, USA","2106 Central Ave SE, Albuquerque, NM 87106, USA",35542288,1628255
June,1757688,8084578,2019-06-02 02:12:00,6/2/2019 2:23,0:10:43,"Kit Carson Park, 1744 Kit Carson Ave SW, Albuquerque, NM 87104, USA","Tingley Dr SW, Albuquerque, NM 87104, USA",37240131,1628233
June,1757694,9984291,2019-06-02 02:12:00,6/2/2019 2:23,0:10:37,"927 Alcalde Pl SW, Albuquerque, NM 87104, USA","Tingley Dr SW, Albuquerque, NM 87104, USA",37782696,1628240
June,1757695,6402509,2019-06-02 02:12:00,6/2/2019 2:23,0:10:30,"Kit Carson Park, 1744 Kit Carson Ave SW, Albuquerque, NM 87104, USA","Tingley Dr SW, Albuquerque, NM 87104, USA",37782735,1628242
June,1757696,4550171,2019-06-02 02:12:00,6/2/2019 2:23,0:10:53,"925 Alcalde Pl SW, Albuquerque, NM 87104, USA","Tingley Dr SW, Albuquerque, NM 87104, USA",37783957,1628247
